Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Kentucky
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Kentucky
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Kentucky
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Kentucky
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Kentucky
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Kentucky
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Kentucky
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Kentucky
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Kentucky
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Kentucky
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Kentucky
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Kentucky
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Kentucky
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Kentucky
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Kentucky
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,Kentucky
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Kentucky
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Kentucky
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Kentucky
ACER,,Acer L.,maple,Aceraceae,Kentucky
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Kentucky
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Kentucky
