Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,HEART'S-DELIGHT,Nyctaginaceae,North Dakota
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,North Dakota
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,North Dakota
ABTH,,Abutilon theophrasti Medik.,VELVETLEAF,Malvaceae,North Dakota
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,North Dakota
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,North Dakota
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,North Dakota
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,North Dakota
ACAM,,Acorus americanus (Raf.) Raf.,SWEETFLAG,Acoraceae,North Dakota
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,North Dakota
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,North Dakota
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,North Dakota
ACCA32,,×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula],Mandan ricegrass,Poaceae,North Dakota
ACCA32,ORCA9,Oryzopsis caduca Beal,,Poaceae,North Dakota
ACCA32,STCA22,Stipa caduca (Beal) Scribn.,,Poaceae,North Dakota
ACCA32,STCA13,×Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler,,Poaceae,North Dakota
ACER,,Acer L.,maple,Aceraceae,North Dakota
ACGI,,Acer ginnala Maxim.,AMUR MAPLE,Aceraceae,North Dakota
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,North Dakota
ACHIL,,Achillea L.,yarrow,Asteraceae,North Dakota
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,North Dakota
ACHNE,,×Achnella Barkworth,ricegrass,Poaceae,North Dakota
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,INDIAN RICEGRASS,Poaceae,North Dakota
