Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Indiana
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Indiana
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Indiana
ABIES,,Abies Mill.,fir,Pinaceae,Indiana
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Indiana
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Indiana
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Indiana
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Indiana
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Indiana
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Indiana
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Indiana
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Indiana
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Indiana
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Indiana
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,Indiana
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Indiana
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Indiana
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Indiana
ACER,,Acer L.,maple,Aceraceae,Indiana
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Indiana
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Indiana
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Indiana
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Indiana
ACHIL,,Achillea L.,yarrow,Asteraceae,Indiana
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Indiana
ACJA,,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,Amaranthaceae,Indiana
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Indiana
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Indiana
