Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Massachusetts
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Massachusetts
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Massachusetts
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Massachusetts
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Massachusetts
ABIES,,Abies Mill.,fir,Pinaceae,Massachusetts
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Massachusetts
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Massachusetts
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Massachusetts
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Massachusetts
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Massachusetts
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Massachusetts
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Massachusetts
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Massachusetts
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Massachusetts
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,Actinidiaceae,Massachusetts
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Massachusetts
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Massachusetts
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Massachusetts
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Massachusetts
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Massachusetts
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Massachusetts
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Massachusetts
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Massachusetts
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Massachusetts
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Massachusetts
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,Massachusetts
ACDI6,,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,Asteraceae,Massachusetts
