Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Nebraska
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Nebraska
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Nebraska
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Nebraska
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Nebraska
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Nebraska
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Nebraska
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Nebraska
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Nebraska
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Nebraska
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Nebraska
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Nebraska
ACCA32,,×Achnella caduca (Beal) Barkworth [Achnatherum hymenoides × Nassella viridula],Mandan ricegrass,Poaceae,Nebraska
ACCA32,ORCA9,Oryzopsis caduca Beal,,Poaceae,Nebraska
ACCA32,STCA22,Stipa caduca (Beal) Scribn.,,Poaceae,Nebraska
ACCA32,STCA13,×Stiporyzopsis caduca (Beal) B.L. Johnson & Rogler,,Poaceae,Nebraska
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Nebraska
ACER,,Acer L.,maple,Aceraceae,Nebraska
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,Nebraska
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,Nebraska
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,Nebraska
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,Nebraska
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,Nebraska
ACHIL,,Achillea L.,yarrow,Asteraceae,Nebraska
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Nebraska
ACHNE,,×Achnella Barkworth,ricegrass,Poaceae,Nebraska
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Nebraska
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Nebraska
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Nebraska
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Nebraska
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Nebraska
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Nebraska
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Nebraska
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Nebraska
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Nebraska
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Nebraska
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Nebraska
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Nebraska
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Nebraska
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Nebraska
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Nebraska
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Nebraska
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Nebraska
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Nebraska
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Nebraska
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Nebraska
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Nebraska
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Nebraska
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Nebraska
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Nebraska
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Nebraska
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Nebraska
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Nebraska
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,Aceraceae,Nebraska
ACNEI2,ACIN3,Acer interius Britton,,Aceraceae,Nebraska
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Nebraska
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,Aceraceae,Nebraska
