Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAR,,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Nyctaginaceae,Colorado
ABCA,,Abronia carletonii J.M. Coult. & Fisher,Carleton's sand verbena,Nyctaginaceae,Colorado
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Colorado
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Colorado
ABEL,,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae,Colorado
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,Colorado
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,Colorado
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,Colorado
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,Colorado
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Colorado
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Colorado
ABIES,,Abies Mill.,fir,Pinaceae,Colorado
ABIN,,Abutilon incanum (Link) Sweet,pelotazo,Malvaceae,Colorado
ABIN,ABINI,Abutilon incanum (Link) Sweet ssp. incanum,,Malvaceae,Colorado
ABIN,ABINP,Abutilon incanum (Link) Sweet ssp. pringlei (Hochr.) Felger & Lowe,,Malvaceae,Colorado
ABIN,ABPR4,Abutilon pringlei Hochr.,,Malvaceae,Colorado
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Colorado
ABLAA,,Abies lasiocarpa (Hook.) Nutt. var. arizonica (Merriam) Lemmon,corkbark fir,Pinaceae,Colorado
ABLAA,ABAR2,Abies arizonica Merriam,,Pinaceae,Colorado
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Colorado
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Colorado
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Colorado
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Colorado
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Colorado
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Colorado
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Colorado
