Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,New York
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,New York
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,New York
ABHO,,Abies homolepis Siebold & Zucc.,Nikko fir,Pinaceae,New York
ABIES,,Abies Mill.,fir,Pinaceae,New York
ABMA,,Abies magnifica A. Murray bis,California red fir,Pinaceae,New York
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,New York
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,New York
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,New York
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,New York
ACAG3,,Achillea ageratum L.,sweet-Nancy,Asteraceae,New York
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,New York
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,New York
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,New York
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,New York
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,New York
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,Actinidiaceae,New York
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,New York
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,New York
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,New York
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,New York
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,New York
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,New York
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,New York
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,New York
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,New York
ACAU6,,Acalypha australis L.,Asian copperleaf,Euphorbiaceae,New York
ACAUL,,Acaulon Müll. Hal.,acaulon moss,Pottiaceae,New York
ACCA4,,Acorus calamus L.,calamus,Acoraceae,New York
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,New York
ACDI6,,Achillea distans Waldst. & Kit. ex Willd.,Alps yarrow,Asteraceae,New York
ACDI6,ACDE10,Achillea dentifera DC.,,Asteraceae,New York
ACER,,Acer L.,maple,Aceraceae,New York
ACFI,,Achillea filipendulina Lam.,fernleaf yarrow,Asteraceae,New York
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple,Aceraceae,New York
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,New York
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,New York
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,New York
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,New York
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,New York
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,New York
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,New York
ACHIL,,Achillea L.,yarrow,Asteraceae,New York
ACHU,,Acanthospermum humile (Sw.) DC.,low starbur,Asteraceae,New York
ACHU,MEHU5,Melampodium humile Sw.,,Asteraceae,New York
ACINO,,Acinos Mill.,acinos,Lamiaceae,New York
ACLI2,,Achillea ligustica All.,Ligurian yarrow,Asteraceae,New York
ACLU,,Actaea ×ludovici B. Boivin [pachypoda × rubra],baneberry,Ranunculaceae,New York
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,New York
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,New York
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,New York
ACMIN,,Achillea millefolium L. var. nigrescens E. Mey.,common yarrow,Asteraceae,New York
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,,Asteraceae,New York
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,New York
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,New York
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,New York
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,New York
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,New York
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,New York
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,New York
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,New York
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,New York
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,New York
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,New York
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,New York
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,New York
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,New York
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,New York
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,New York
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,New York
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,New York
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,New York
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,New York
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,New York
ACMU5,,Acaulon muticum (Hedw.) Müll. Hal.,acaulon moss,Pottiaceae,New York
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,New York
ACNE2,,Acer negundo L.,boxelder,Aceraceae,New York
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,New York
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,New York
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,New York
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,New York
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,New York
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,New York
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,New York
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,New York
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,New York
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,New York
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,New York
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,New York
ACNO,,Achillea nobilis L.,noble yarrow,Asteraceae,New York
ACNO2,,Aconitum noveboracense A. Gray ex Coville,northern blue monkshood,Ranunculaceae,New York
ACNO2,ACNOQ,Aconitum noveboracense A. Gray ex Coville var. quasiciliatum Fassett,,Ranunculaceae,New York
ACNO2,ACUNN,Aconitum uncinatum L. ssp. noveboracense (A. Gray ex Coville) Hardin,,Ranunculaceae,New York
ACONI,,Aconitum L.,monkshood,Ranunculaceae,New York
ACORU,,Acorus L.,sweetflag,Acoraceae,New York
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,New York
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,New York
ACPA2,,Acer palmatum Thunb.,Japanese maple,Aceraceae,New York
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,New York
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,New York
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,New York
ACPO9,,Actinidia polygama (Siebold & Zucc.) Maxim.,silver vine,Actinidiaceae,New York
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,New York
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,New York
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,New York
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,New York
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,New York
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,New York
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,New York
ACRU,,Acer rubrum L.,red maple,Aceraceae,New York
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,New York
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,New York
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,New York
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,New York
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,New York
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,New York
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,New York
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,New York
