Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,Georgia
ABFR,PIFR,Pinus fraseri Pursh,,Pinaceae,Georgia
ABIES,,Abies Mill.,fir,Pinaceae,Georgia
ABPR3,,Abrus precatorius L.,rosarypea,Fabaceae,Georgia
ABPR3,ABAB2,"Abrus abrus (L.) W. Wight, nom. inval.",,Fabaceae,Georgia
ABRUS,,Abrus Adans.,abrus,Fabaceae,Georgia
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Georgia
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Georgia
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Georgia
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Georgia
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Georgia
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Georgia
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Georgia
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Georgia
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Georgia
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Georgia
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Georgia
ACER,,Acer L.,maple,Aceraceae,Georgia
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,Georgia
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,Georgia
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,Georgia
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,Georgia
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,Georgia
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,Georgia
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,Georgia
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,Georgia
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,Georgia
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,Georgia
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,Georgia
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,Georgia
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Georgia
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Georgia
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Georgia
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Georgia
ACHI,,Acanthospermum hispidum DC.,hispid starbur,Asteraceae,Georgia
ACHIL,,Achillea L.,yarrow,Asteraceae,Georgia
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,Georgia
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,Georgia
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,Georgia
