Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Ohio
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Ohio
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Ohio
ABIES,,Abies Mill.,fir,Pinaceae,Ohio
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Ohio
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Ohio
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Ohio
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Ohio
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Ohio
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Ohio
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Ohio
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Ohio
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,Actinidiaceae,Ohio
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Ohio
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Ohio
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Ohio
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Ohio
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Ohio
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Ohio
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Ohio
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,Ohio
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Ohio
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Ohio
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Ohio
ACER,,Acer L.,maple,Aceraceae,Ohio
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple,Aceraceae,Ohio
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Ohio
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Ohio
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Ohio
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Ohio
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Ohio
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Ohio
ACHIL,,Achillea L.,yarrow,Asteraceae,Ohio
ACHYR2,,Achyranthes L.,chaff flower,Amaranthaceae,Ohio
ACINO,,Acinos Mill.,acinos,Lamiaceae,Ohio
ACJA,,Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,Amaranthaceae,Ohio
ACJAH,,Achyranthes japonica (Miq.) Nakai var. hachijoensis Honda,Japanese chaff flower,Amaranthaceae,Ohio
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Ohio
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Ohio
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Ohio
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Ohio
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Ohio
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Ohio
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Ohio
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Ohio
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Ohio
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Ohio
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Ohio
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Ohio
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Ohio
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Ohio
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Ohio
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Ohio
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Ohio
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Ohio
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Ohio
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Ohio
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Ohio
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Ohio
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Ohio
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Ohio
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Ohio
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Ohio
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Ohio
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Ohio
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Ohio
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Ohio
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Ohio
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,Ohio
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,Ohio
