Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Michigan
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Michigan
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Michigan
ABELM,,Abelmoschus Medik.,okra,Malvaceae,Michigan
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,Michigan
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,Michigan
ABIES,,Abies Mill.,fir,Pinaceae,Michigan
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Michigan
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Michigan
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Michigan
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Michigan
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Michigan
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Michigan
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Michigan
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Michigan
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Michigan
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Michigan
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Michigan
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Michigan
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Michigan
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Michigan
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Michigan
ACER,,Acer L.,maple,Aceraceae,Michigan
ACFI,,Achillea filipendulina Lam.,fernleaf yarrow,Asteraceae,Michigan
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Michigan
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Michigan
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Michigan
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Michigan
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Michigan
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Michigan
ACHIL,,Achillea L.,yarrow,Asteraceae,Michigan
ACINO,,Acinos Mill.,acinos,Lamiaceae,Michigan
ACLI2,,Achillea ligustica All.,Ligurian yarrow,Asteraceae,Michigan
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Michigan
ACMIB,,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,Asteraceae,Michigan
ACMIB,ACBO,Achillea borealis Bong.,,Asteraceae,Michigan
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,,Asteraceae,Michigan
