Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Maine
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Maine
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Maine
ABBAP,,Abies balsamea (L.) Mill. var. phanerolepis Fernald,balsam fir,Pinaceae,Maine
ABBAP,ABPH,Abies ×phanerolepis (Fernald) Liu,,Pinaceae,Maine
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Maine
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Maine
ABIES,,Abies Mill.,fir,Pinaceae,Maine
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Maine
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Maine
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Maine
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Maine
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Maine
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Maine
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Maine
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Maine
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,Actinidiaceae,Maine
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Maine
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Maine
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Maine
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Maine
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Maine
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Maine
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Maine
ACER,,Acer L.,maple,Aceraceae,Maine
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple,Aceraceae,Maine
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Maine
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Maine
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Maine
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Maine
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Maine
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Maine
ACHIL,,Achillea L.,yarrow,Asteraceae,Maine
ACINO,,Acinos Mill.,acinos,Lamiaceae,Maine
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Maine
ACMIB,,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,Asteraceae,Maine
ACMIB,ACBO,Achillea borealis Bong.,,Asteraceae,Maine
ACMIB,ACBOT,Achillea borealis Bong. ssp. typica D.D. Keck,,Asteraceae,Maine
ACMIB,ACMIA3,Achillea millefolium L. ssp. atrotegula B. Boivin,,Asteraceae,Maine
ACMIB,ACMIB2,Achillea millefolium L. ssp. borealis (Bong.) Breitung,,Asteraceae,Maine
ACMIB,ACMIF2,Achillea millefolium L. var. fulva B. Boivin,,Asteraceae,Maine
ACMIB,ACMIP3,Achillea millefolium L. var. parviligula B. Boivin,,Asteraceae,Maine
ACMIB,ACMIP4,Achillea millefolium L. var. parvula B. Boivin,,Asteraceae,Maine
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Maine
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Maine
ACMIN,,Achillea millefolium L. var. nigrescens E. Mey.,common yarrow,Asteraceae,Maine
ACMIN,ACNI4,Achillea nigrescens (E. Mey.) Rydb.,,Asteraceae,Maine
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Maine
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Maine
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Maine
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Maine
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Maine
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Maine
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Maine
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Maine
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Maine
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Maine
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Maine
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Maine
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Maine
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Maine
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Maine
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Maine
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Maine
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Maine
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Maine
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Maine
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Maine
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Maine
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Maine
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Maine
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Maine
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,Maine
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,Maine
ACNEV,,Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger,boxelder,Aceraceae,Maine
ACNEV,NEACV,Negundo aceroides (L.) Moench ssp. violaceum (G. Kirchn.) W.A. Weber,,Aceraceae,Maine
ACONI,,Aconitum L.,monkshood,Ranunculaceae,Maine
ACORU,,Acorus L.,sweetflag,Acoraceae,Maine
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,Maine
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,Maine
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,Maine
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,Maine
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,Maine
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,Maine
ACPT,,Achillea ptarmica L.,sneezeweed,Asteraceae,Maine
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,Maine
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,Maine
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,Maine
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,Maine
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,Maine
ACRU,,Acer rubrum L.,red maple,Aceraceae,Maine
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,Maine
ACRU2,,Actaea rubra (Aiton) Willd.,red baneberry,Ranunculaceae,Maine
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,Maine
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,Maine
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,Maine
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,Maine
ACRUR2,,Actaea rubra (Aiton) Willd. ssp. rubra,red baneberry,Ranunculaceae,Maine
ACRUR2,ACRUR3,Actaea rubra (Aiton) Willd. var. rubra,,Ranunculaceae,Maine
ACRUR2,ACSPR3,Actaea spicata L. ssp. rubra (Aiton) Hultén,,Ranunculaceae,Maine
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,Maine
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,Maine
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,Maine
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,Maine
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,Maine
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,Maine
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,Maine
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,Maine
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,Maine
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,Maine
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,Maine
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,Maine
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,Maine
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,Maine
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,Maine
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,Maine
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,Maine
ACTAE,,Actaea L.,baneberry,Ranunculaceae,Maine
ACTIN3,,Actinidia Lindl.,actinidia,Actinidiaceae,Maine
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,Maine
ADAL,,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Pteridaceae,Maine
ADAL,ADPEA2,Adiantum pedatum L. ssp. aleuticum (Rupr.) Calder & Roy L. Taylor,,Pteridaceae,Maine
ADAL,ADPEC,Adiantum pedatum L. ssp. calderi Cody,,Pteridaceae,Maine
ADAL,ADPES,Adiantum pedatum L. ssp. subpumilum (W.H. Wagner) Lellinger,,Pteridaceae,Maine
ADAL,ADPEA,Adiantum pedatum L. var. aleuticum Rupr.,,Pteridaceae,Maine
ADAL,ADPES2,Adiantum pedatum L. var. subpumilum W.H. Wagner,,Pteridaceae,Maine
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,Maine
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,Maine
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,Maine
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,Maine
AECY2,,Aethusa cynapium L.,fool's parsley,Apiaceae,Maine
AEGL,,Aesculus glabra Willd.,Ohio buckeye,Hippocastanaceae,Maine
AEGLG,,Aesculus glabra Willd. var. glabra,Ohio buckeye,Hippocastanaceae,Maine
AEGLG,AEGLL,Aesculus glabra Willd. var. leucodermis Sarg.,,Hippocastanaceae,Maine
AEGLG,AEGLM,Aesculus glabra Willd. var. micrantha Sarg.,,Hippocastanaceae,Maine
AEGLG,AEGLM2,Aesculus glabra Willd. var. monticola Sarg.,,Hippocastanaceae,Maine
AEGLG,AEGLP,Aesculus glabra Willd. var. pallida (Willd.) G. Kirchn.,,Hippocastanaceae,Maine
AEGLG,AEGLS,Aesculus glabra Willd. var. sargentii Rehder,,Hippocastanaceae,Maine
AEGOP,,Aegopodium L.,goutweed,Apiaceae,Maine
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,Maine
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,Maine
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,Maine
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,Maine
AETHU,,Aethusa L.,aethusa,Apiaceae,Maine
AGAL5,,Ageratina altissima (L.) R.M. King & H. Rob.,white snakeroot,Asteraceae,Maine
AGALA,,Ageratina altissima (L.) R.M. King & H. Rob. var. altissima,white snakeroot,Asteraceae,Maine
AGALA,AGAL9,"Ageratum altissimum L., non Eupatorium altissimum L.",,Asteraceae,Maine
AGALA,EURU6,Eupatorium rugosum Houtt.,,Asteraceae,Maine
AGALA,EURUC,Eupatorium rugosum Houtt. var. chlorolepis Fernald,,Asteraceae,Maine
AGALA,EURUT,Eupatorium rugosum Houtt. var. tomentellum (B.L. Rob.) S.F. Blake,,Asteraceae,Maine
AGALA,EURUV,Eupatorium rugosum Houtt. var. villicaule (Fernald) S.F. Blake,,Asteraceae,Maine
AGALA,EUURT,Eupatorium urticifolium Reichard var. tomentellum B.L. Rob.,,Asteraceae,Maine
AGALI,,Agalinis Raf.,false foxglove,Scrophulariaceae,Maine
AGCA4,,Agrostis canina L.,velvet bentgrass,Poaceae,Maine
AGCA4,AGCAV,Agrostis canina L. var. varians (Thuill.) Ducomm.,,Poaceae,Maine
AGCA5,,Agrostis capillaris L.,colonial bentgrass,Poaceae,Maine
AGCA5,AGSY2,Agrostis sylvatica Huds.,,Poaceae,Maine
AGCA5,AGTE,Agrostis tenuis Sibth.,,Poaceae,Maine
AGCA5,AGTEA,Agrostis tenuis Sibth. var. aristata (Parnell) Druce,,Poaceae,Maine
AGCA5,AGTEH,Agrostis tenuis Sibth. var. hispida (Willd.) Philipson,,Poaceae,Maine
AGCA5,AGTEP,Agrostis tenuis Sibth. var. pumila (L.) Druce,,Poaceae,Maine
AGCA5,AGVU2,Agrostis vulgaris With.,,Poaceae,Maine
AGEL4,,Agrostis elliottiana Schult.,Elliott's bentgrass,Poaceae,Maine
AGEL4,AGEX2,Agrostis exigua Thurb.,,Poaceae,Maine
AGERA2,,Ageratina Spach,snakeroot,Asteraceae,Maine
AGGI,,Agrostemma githago L.,common corncockle,Caryophyllaceae,Maine
AGGI2,,Agrostis gigantea Roth,redtop,Poaceae,Maine
AGGI2,AGAL3,Agrostis alba auct. non L.,,Poaceae,Maine
AGGI2,AGGID,Agrostis gigantea Roth var. dispar (Michx.) Philipson,,Poaceae,Maine
AGGI2,AGNI,Agrostis nigra With.,,Poaceae,Maine
AGGI2,AGSTG,Agrostis stolonifera L. ssp. gigantea (Roth) Schübl. & G. Martens,,Poaceae,Maine
AGGI2,AGSTM,Agrostis stolonifera L. var. major (Gaudin) Farw.,,Poaceae,Maine
AGGR2,,Agrimonia gryposepala Wallr.,tall hairy agrimony,Rosaceae,Maine
AGHY,,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass,Poaceae,Maine
AGHY,AGAN2,Agrostis antecedens E.P. Bicknell,,Poaceae,Maine
AGHY,COHY2,Cornucopiae hyemalis Walter,,Poaceae,Maine
AGMA3,,Agalinis maritima (Raf.) Raf.,saltmarsh false foxglove,Scrophulariaceae,Maine
AGMAM,,Agalinis maritima (Raf.) Raf. var. maritima,saltmarsh false foxglove,Scrophulariaceae,Maine
AGMAM,GEMA8,Gerardia maritima Raf.,,Scrophulariaceae,Maine
AGME3,,Agrostis mertensii Trin.,northern bentgrass,Poaceae,Maine
AGME3,AGBA5,Agrostis bakeri Rydb.,,Poaceae,Maine
AGME3,AGBO2,Agrostis borealis Hartm.,,Poaceae,Maine
AGME3,AGBOA3,Agrostis borealis Hartm. var. americana (Scribn.) Fernald,,Poaceae,Maine
AGME3,AGBOP,Agrostis borealis Hartm. var. paludosa (Scribn.) Fernald,,Poaceae,Maine
AGME3,AGIDB,Agrostis idahoensis Nash var. bakeri (Rydb.) W.A. Weber,,Poaceae,Maine
AGME3,AGMEB,Agrostis mertensii Trin. ssp. borealis (Hartm.) Tzvelev,,Poaceae,Maine
AGME3,AGRU2,Agrostis rupestris auct. non All.,,Poaceae,Maine
AGNE5,,Agalinis neoscotica (Greene) Fernald,Middleton false foxglove,Scrophulariaceae,Maine
AGNE5,AGPAN3,Agalinis paupercula (A. Gray) Britton var. neoscotica (Greene) Pennell & H. St. John,,Scrophulariaceae,Maine
AGNE5,AGPUN,Agalinis purpurea (L.) Pennell var. neoscotica (Greene) B. Boivin,,Scrophulariaceae,Maine
AGNE5,GENE6,Gerardia neoscotica Greene,,Scrophulariaceae,Maine
AGNE5,GEPUN,Gerardia purpurea L. var. neoscotica (Greene) Gleason,,Scrophulariaceae,Maine
AGPA12,,Agalinis paupercula (A. Gray) Britton,smallflower false foxglove,Scrophulariaceae,Maine
AGPAB,,Agalinis paupercula (A. Gray) Britton var. borealis Pennell,smallflower false foxglove,Scrophulariaceae,Maine
AGPAB,AGPUP,Agalinis purpurea (L.) Pennell var. parviflora (Benth.) B. Boivin,,Scrophulariaceae,Maine
AGPAB,GEPAB,Gerardia paupercula (A. Gray) Britton ssp. borealis (Pennell) Pennell,,Scrophulariaceae,Maine
AGPAB,GEPAB2,Gerardia paupercula (A. Gray) Britton var. borealis (Pennell) Deam,,Scrophulariaceae,Maine
AGPAB,GEPUP4,Gerardia purpurea L. var. parviflora Benth.,,Scrophulariaceae,Maine
AGPAP3,,Agalinis paupercula (A. Gray) Britton var. paupercula,smallflower false foxglove,Scrophulariaceae,Maine
AGPAP3,GEPA8,Gerardia paupercula (A. Gray) Britton,,Scrophulariaceae,Maine
