Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Pennsylvania
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Pennsylvania
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Pennsylvania
ABIES,,Abies Mill.,fir,Pinaceae,Pennsylvania
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Pennsylvania
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Pennsylvania
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Pennsylvania
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Pennsylvania
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Pennsylvania
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Pennsylvania
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Pennsylvania
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Pennsylvania
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,Pennsylvania
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,Pennsylvania
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,Pennsylvania
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,Pennsylvania
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,Pennsylvania
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,Pennsylvania
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Pennsylvania
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,Pennsylvania
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,Pennsylvania
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,Pennsylvania
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Pennsylvania
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,Pennsylvania
ACDE4,,Acalypha deamii (Weath.) H.E. Ahles,Deam's threeseed mercury,Euphorbiaceae,Pennsylvania
ACDE4,ACRHD,Acalypha rhomboidea Raf. var. deamii (Weath.) Weath.,,Euphorbiaceae,Pennsylvania
ACDE4,ACVID,Acalypha virginica L. var. deamii Weath.,,Euphorbiaceae,Pennsylvania
ACER,,Acer L.,maple,Aceraceae,Pennsylvania
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Pennsylvania
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Pennsylvania
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,Pennsylvania
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,Pennsylvania
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,Pennsylvania
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,Pennsylvania
ACHIL,,Achillea L.,yarrow,Asteraceae,Pennsylvania
ACICA,,Acicarpha Juss.,acicarpha,Calyceraceae,Pennsylvania
ACINO,,Acinos Mill.,acinos,Lamiaceae,Pennsylvania
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Pennsylvania
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Pennsylvania
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Pennsylvania
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Pennsylvania
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Pennsylvania
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Pennsylvania
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Pennsylvania
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Pennsylvania
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Pennsylvania
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Pennsylvania
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Pennsylvania
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Pennsylvania
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Pennsylvania
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Pennsylvania
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Pennsylvania
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Pennsylvania
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Pennsylvania
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Pennsylvania
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Pennsylvania
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Pennsylvania
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Pennsylvania
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Pennsylvania
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Pennsylvania
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Pennsylvania
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Pennsylvania
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Pennsylvania
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,Pennsylvania
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,Pennsylvania
