Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAR,,Abronia argillosa S.L. Welsh & Goodrich,clay sand verbena,Nyctaginaceae,Utah
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,Utah
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,Utah
ABEL,,Abronia elliptica A. Nelson,fragrant white sand verbena,Nyctaginaceae,Utah
ABEL,ABFRE2,Abronia fragrans Nutt. ex Hook. var. elliptica (A. Nelson) M.E. Jones,,Nyctaginaceae,Utah
ABEL,ABPU2,Abronia pumila Rydb.,,Nyctaginaceae,Utah
ABEL,ABRA,Abronia ramosa Standl.,,Nyctaginaceae,Utah
ABEL,ABSA3,Abronia salsa Rydb.,,Nyctaginaceae,Utah
ABFR2,,Abronia fragrans Nutt. ex Hook.,snowball sand verbena,Nyctaginaceae,Utah
ABFR2,ABFRG2,Abronia fragrans Nutt. ex Hook. var. glaucescens A. Nelson,,Nyctaginaceae,Utah
ABIES,,Abies Mill.,fir,Pinaceae,Utah
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,Utah
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,Utah
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,Utah
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,Utah
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,Utah
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,Utah
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,Utah
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,Utah
ABME,,Abronia mellifera Douglas ex Hook.,white sand verbena,Nyctaginaceae,Utah
ABNA,,Abronia nana S. Watson,dwarf sand verbena,Nyctaginaceae,Utah
ABNAH,,Abronia nana S. Watson var. harrisii S.L. Welsh,Harris' dwarf sand verbena,Nyctaginaceae,Utah
ABNAN,,Abronia nana S. Watson var. nana,dwarf sand verbena,Nyctaginaceae,Utah
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,,Nyctaginaceae,Utah
ABPA3,,Abutilon parvulum A. Gray,dwarf Indian mallow,Malvaceae,Utah
ABRON,,Abronia Juss.,sand verbena,Nyctaginaceae,Utah
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Utah
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Utah
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Utah
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Utah
ABVI,,Abronia villosa S. Watson,desert sand verbena,Nyctaginaceae,Utah
ABVIV,,Abronia villosa S. Watson var. villosa,desert sand verbena,Nyctaginaceae,Utah
ACAMP,,Acamptopappus (A. Gray) A. Gray,goldenhead,Asteraceae,Utah
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,Poaceae,Utah
ACAR14,STAR2,Stipa arida M.E. Jones,,Poaceae,Utah
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Utah
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,Poaceae,Utah
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,Poaceae,Utah
ACBL,STBL4,Stipa bloomeri Bol.,,Poaceae,Utah
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,Poaceae,Utah
ACCO3,,Achyronychia cooperi Torr. & A. Gray,onyxflower,Caryophyllaceae,Utah
ACCO4,,Aconitum columbianum Nutt.,Columbian monkshood,Ranunculaceae,Utah
ACCOC3,,Aconitum columbianum Nutt. ssp. columbianum,Columbian monkshood,Ranunculaceae,Utah
ACCOC3,ACCOP,Aconitum columbianum Nutt. ssp. pallidum Piper,,Ranunculaceae,Utah
ACCOC3,ACCOB,Aconitum columbianum Nutt. var. bakeri (Greene) Harrington,,Ranunculaceae,Utah
ACCOC3,ACCOO,Aconitum columbianum Nutt. var. ochroleucum A. Nelson,,Ranunculaceae,Utah
ACCOC3,ACGE3,Aconitum geranioides Greene,,Ranunculaceae,Utah
ACCOC3,ACLE6,Aconitum leibergii Greene,,Ranunculaceae,Utah
ACCOC3,ACMO3,Aconitum mogollonicum Greene,,Ranunculaceae,Utah
ACER,,Acer L.,maple,Aceraceae,Utah
ACFI,,Achillea filipendulina Lam.,fernleaf yarrow,Asteraceae,Utah
ACGL,,Acer glabrum Torr.,Rocky Mountain maple,Aceraceae,Utah
ACGLD3,,Acer glabrum Torr. var. diffusum (Greene) Smiley,Rocky Mountain maple,Aceraceae,Utah
ACGLD3,ACDI,Acer diffusum Greene,,Aceraceae,Utah
ACGLD3,ACGLD,Acer glabrum Torr. ssp. diffusum (Greene) A.E. Murray,,Aceraceae,Utah
ACGLG2,,Acer glabrum Torr. var. glabrum,Rocky Mountain maple,Aceraceae,Utah
ACGLG2,ACGLT3,Acer glabrum Torr. var. tripartitum (Nutt. ex Torr. & A. Gray) Pax,,Aceraceae,Utah
ACGLG2,ACGLT4,Acer glabrum Torr. var. typicum (Wesmael) Keller,,Aceraceae,Utah
ACGLG2,ACTR3,Acer tripartitum Nutt. ex Torr. & A. Gray,,Aceraceae,Utah
ACGLN2,,Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles,New Mexico maple,Aceraceae,Utah
ACGLN2,ACGLN,Acer glabrum Torr. ssp. neomexicanum (Greene) A.E. Murray,,Aceraceae,Utah
ACGLN2,ACGLP,Acer glabrum Torr. var. parviflorum A.E. Murray,,Aceraceae,Utah
ACGLN2,ACNE6,Acer neomexicanum Greene,,Aceraceae,Utah
ACGR3,,Acer grandidentatum Nutt.,bigtooth maple,Aceraceae,Utah
ACGRG,,Acer grandidentatum Nutt. var. grandidentatum,bigtooth maple,Aceraceae,Utah
ACGRG,ACSAG2,Acer saccharum Marshall ssp. grandidentatum (Nutt.) Desmarais,,Aceraceae,Utah
ACGRG,ACSAG3,Acer saccharum Marshall var. grandidentatum (Nutt.) Sudw.,,Aceraceae,Utah
ACGRG,SAGR17,Saccharodendron grandidentatum (Nutt.) Nieuwl.,,Aceraceae,Utah
ACHIL,,Achillea L.,yarrow,Asteraceae,Utah
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Utah
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Utah
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Utah
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Utah
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Utah
ACHYR3,,Achyronychia Torr. & A. Gray,achyronychia,Caryophyllaceae,Utah
ACLE8,,Achnatherum lemmonii (Vasey) Barkworth,Lemmon's needlegrass,Poaceae,Utah
ACLE9,,Achnatherum lettermanii (Vasey) Barkworth,Letterman's needlegrass,Poaceae,Utah
ACLE9,STLE4,Stipa lettermanii Vasey,,Poaceae,Utah
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass,Poaceae,Utah
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii,,Poaceae,Utah
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,,Poaceae,Utah
ACLEL,STLEJ,Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.,,Poaceae,Utah
ACLEL,STLEL,Stipa lemmonii (Vasey) Scribn. var. lemmonii,,Poaceae,Utah
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Utah
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,Asteraceae,Utah
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,Asteraceae,Utah
ACMIA,ACFU,Achillea fusca Rydb.,,Asteraceae,Utah
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,Asteraceae,Utah
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,Asteraceae,Utah
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,Asteraceae,Utah
ACMIA,ACSU3,Achillea subalpina Greene,,Asteraceae,Utah
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Utah
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Utah
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Utah
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Utah
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Utah
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Utah
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Utah
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Utah
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Utah
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Utah
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Utah
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Utah
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Utah
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Utah
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Utah
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Utah
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Utah
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Utah
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Utah
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Utah
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Utah
ACNE10,,Achnatherum nevadense (B.L. Johnson) Barkworth,Nevada needlegrass,Poaceae,Utah
ACNE10,STNE4,Stipa nevadensis B.L. Johnson,,Poaceae,Utah
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Utah
ACNE9,,Achnatherum nelsonii (Scribn.) Barkworth,Columbia needlegrass,Poaceae,Utah
ACNED,,Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth,Dore's needlegrass,Poaceae,Utah
ACNED,ACNED2,Achnatherum nelsonii (Scribn.) Barkworth var. dorei (Barkworth & Maze) Dorn,,Poaceae,Utah
ACNED,STCO3,"Stipa columbiana Macoun, nom. utique rej.",,Poaceae,Utah
ACNED,STMI6,Stipa minor (Vasey) Scribn.,,Poaceae,Utah
