Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAB70,,Abietinella abietina (Hedw.) Fleisch.,abietinella moss,Thuidiaceae,New Jersey
ABAB70,HYAB,Hypnum abietinum Hedw.,,Thuidiaceae,New Jersey
ABAB70,THAB70,Thuidium abietinum (Hedw.) Schimp.,,Thuidiaceae,New Jersey
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,New Jersey
ABIES,,Abies Mill.,fir,Pinaceae,New Jersey
ABIET,,Abietinella Müll. Hal.,abietenella moss,Thuidiaceae,New Jersey
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,New Jersey
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,New Jersey
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,New Jersey
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,New Jersey
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,New Jersey
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,New Jersey
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,New Jersey
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,New Jersey
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,New Jersey
ACAR10,,Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,tara vine,Actinidiaceae,New Jersey
ACAR2,,Acinos arvensis (Lam.) Dandy,basil thyme,Lamiaceae,New Jersey
ACAR2,ACTH3,Acinos thymoides (L.) Moench,,Lamiaceae,New Jersey
ACAR2,CAAC6,Calamintha acinos (L.) Clairville ex Gaudich.,,Lamiaceae,New Jersey
ACAR2,CLAC5,Clinopodium acinos (L.) Kuntze,,Lamiaceae,New Jersey
ACAR2,SAAC,Satureja acinos (L.) Scheele,,Lamiaceae,New Jersey
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,New Jersey
ACAU6,,Acalypha australis L.,Asian copperleaf,Euphorbiaceae,New Jersey
ACCA4,,Acorus calamus L.,calamus,Acoraceae,New Jersey
ACCA5,,Acer campestre L.,hedge maple,Aceraceae,New Jersey
ACDE5,,Acmella decumbens (Sm.) R.K. Jansen,creeping spotflower,Asteraceae,New Jersey
ACDE5,SPAMS,Spilanthes americana (Mutis ex L. f.) Hieron. var. stolonifera (DC.) A.H. Moore,,Asteraceae,New Jersey
ACDE5,SPST4,Spilanthes stolonifera DC.,,Asteraceae,New Jersey
ACER,,Acer L.,maple,Aceraceae,New Jersey
