Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABAL3,,Abies alba Mill.,silver fir,Pinaceae,North Carolina
ABELI,,Abelia R. Br.,abelia,Caprifoliaceae,North Carolina
ABELM,,Abelmoschus Medik.,okra,Malvaceae,North Carolina
ABES,,Abelmoschus esculentus (L.) Moench,okra,Malvaceae,North Carolina
ABES,HIES,Hibiscus esculentus L.,,Malvaceae,North Carolina
ABFI,,Abies firma Siebold & Zucc.,Momi fir,Pinaceae,North Carolina
ABFR,,Abies fraseri (Pursh) Poir.,Fraser fir,Pinaceae,North Carolina
ABFR,PIFR,Pinus fraseri Pursh,,Pinaceae,North Carolina
ABGR4,,Abelia ×grandiflora (Rovelli ex André) Rehder [chinensis × uniflora],glossy abelia,Caprifoliaceae,North Carolina
ABIES,,Abies Mill.,fir,Pinaceae,North Carolina
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,North Carolina
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,North Carolina
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,North Carolina
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,North Carolina
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,North Carolina
ACANT3,,Acanthospermum Schrank,starbur,Asteraceae,North Carolina
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,North Carolina
ACAU2,,Acanthospermum australe (Loefl.) Kuntze,Paraguayan starbur,Asteraceae,North Carolina
ACAU2,ACXA,Acanthospermum xanthioides DC.,,Asteraceae,North Carolina
ACAU2,MEAU,Melampodium australe Loefl.,,Asteraceae,North Carolina
ACCA4,,Acorus calamus L.,calamus,Acoraceae,North Carolina
ACER,,Acer L.,maple,Aceraceae,North Carolina
ACFL,,Acer floridanum (Chapm.) Pax,southern sugar maple,Aceraceae,North Carolina
ACFL,ACBA3,Acer barbatum Michx. p.p.,,Aceraceae,North Carolina
ACFL,ACBAL,Acer barbatum Michx. var. longii (Fernald) Fernald,,Aceraceae,North Carolina
ACFL,ACBAV,Acer barbatum Michx. var. villipes (Rehder) Ashe,,Aceraceae,North Carolina
ACFL,ACFLL,Acer floridanum (Chapm.) Pax var. longii Fernald,,Aceraceae,North Carolina
ACFL,ACFLV,Acer floridanum (Chapm.) Pax var. villipes Rehder,,Aceraceae,North Carolina
ACFL,ACNIF,Acer nigrum Michx. f. var. floridanum (Chapm.) Fosberg,,Aceraceae,North Carolina
ACFL,ACSAF2,Acer saccharinum L. var. floridanum Chapm.,,Aceraceae,North Carolina
ACFL,ACSAF,Acer saccharum Marshall ssp. floridanum (Chapm.) Desmarais,,Aceraceae,North Carolina
ACFL,ACSAF3,Acer saccharum Marshall var. floridanum (Chapm.) Small & A. Heller,,Aceraceae,North Carolina
ACFL,SABA13,Saccharodendron barbatum (Michx.) Nieuwl.,,Aceraceae,North Carolina
ACFL,SAFL8,Saccharodendron floridanum (Chapm.) Nieuwl.,,Aceraceae,North Carolina
ACFR,,Acer ×freemanii A.E. Murray [rubrum × saccharinum],Freeman maple,Aceraceae,North Carolina
ACGR2,,Acalypha gracilens A. Gray,slender threeseed mercury,Euphorbiaceae,North Carolina
ACGR2,ACGRD,Acalypha gracilens A. Gray var. delzii L. Mill.,,Euphorbiaceae,North Carolina
ACGR2,ACGRF,Acalypha gracilens A. Gray var. fraseri (Müll. Arg.) Weath.,,Euphorbiaceae,North Carolina
ACGR2,ACVIG,Acalypha virginica L. var. gracilens (A. Gray) Müll. Arg.,,Euphorbiaceae,North Carolina
ACHIL,,Achillea L.,yarrow,Asteraceae,North Carolina
ACICA,,Acicarpha Juss.,acicarpha,Calyceraceae,North Carolina
ACLE,,Acer leucoderme Small,chalk maple,Aceraceae,North Carolina
ACLE,ACNIL,Acer nigrum Michx. f. var. leucoderme (Small) Fosberg,,Aceraceae,North Carolina
ACLE,ACSAL,Acer saccharum Marshall ssp. leucoderme (Small) Desmarais,,Aceraceae,North Carolina
ACLE,ACSAL2,Acer saccharum Marshall var. leucoderme (Small) Rehder,,Aceraceae,North Carolina
ACLE,SALE8,Saccharodendron leucoderme (Small) Nieuwl.,,Aceraceae,North Carolina
ACMEL,,Acmella Rich. ex Pers.,spotflower,Asteraceae,North Carolina
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,North Carolina
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,North Carolina
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,North Carolina
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,North Carolina
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,North Carolina
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,North Carolina
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,North Carolina
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,North Carolina
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,North Carolina
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,North Carolina
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,North Carolina
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,North Carolina
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,North Carolina
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,North Carolina
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,North Carolina
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,North Carolina
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,North Carolina
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,North Carolina
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,North Carolina
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,North Carolina
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,North Carolina
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,North Carolina
ACNE2,,Acer negundo L.,boxelder,Aceraceae,North Carolina
ACNEN,,Acer negundo L. var. negundo,boxelder,Aceraceae,North Carolina
ACNEN,ACNEV2,Acer negundo L. var. variegatum Jacques,,Aceraceae,North Carolina
ACNEN,NEAC,Negundo aceroides (L.) Moench,,Aceraceae,North Carolina
ACNEN,NENE,"Negundo negundo (L.) Karst., nom. inval.",,Aceraceae,North Carolina
ACNET,,Acer negundo L. var. texanum Pax,boxelder,Aceraceae,North Carolina
ACNET,ACNEL,Acer negundo L. ssp. latifolium (Pax) Schwerin,,Aceraceae,North Carolina
ACNI5,,Acer nigrum Michx. f.,black maple,Aceraceae,North Carolina
ACNI5,ACNIP,Acer nigrum Michx. f. var. palmeri Sarg.,,Aceraceae,North Carolina
ACNI5,ACSAN,Acer saccharum Marshall ssp. nigrum (Michx. f.) Desmarais,,Aceraceae,North Carolina
ACNI5,ACSAN2,Acer saccharum Marshall var. nigrum (Michx. f.) Britton,,Aceraceae,North Carolina
ACNI5,ACSAV,Acer saccharum Marshall var. viride (Schmidt) A.E. Murray,,Aceraceae,North Carolina
ACNI5,SANI9,Saccharodendron nigrum (Michx. f.) Small,,Aceraceae,North Carolina
ACONI,,Aconitum L.,monkshood,Ranunculaceae,North Carolina
ACOP,,Acmella oppositifolia (Lam.) R.K. Jansen,oppositeleaf spotflower,Asteraceae,North Carolina
ACOPR,,Acmella oppositifolia (Lam.) R.K. Jansen var. repens (Walter) R.K. Jansen,oppositeleaf spotflower,Asteraceae,North Carolina
ACOPR,ACRE6,Acmella repens (Walter) Rich.,,Asteraceae,North Carolina
ACOPR,SPAM3,Spilanthes americana auct. non Hieron. p.p.,,Asteraceae,North Carolina
ACOPR,SPAMR3,Spilanthes americana (Mutis ex L. f.) Hieron. var. repens (Walter) A.H. Moore,,Asteraceae,North Carolina
ACORU,,Acorus L.,sweetflag,Acoraceae,North Carolina
ACOS,,Acalypha ostryifolia Riddell,pineland threeseed mercury,Euphorbiaceae,North Carolina
ACOS,ACCA8,Acalypha caroliniana Elliott,,Euphorbiaceae,North Carolina
ACPA,,Actaea pachypoda Elliott,white baneberry,Ranunculaceae,North Carolina
ACPA,ACAL7,Actaea alba auct. non (L.) Mill.,,Ranunculaceae,North Carolina
ACPE,,Acer pensylvanicum L.,striped maple,Aceraceae,North Carolina
ACPL,,Acer platanoides L.,Norway maple,Aceraceae,North Carolina
ACPL,ACPLS,Acer platanoides L. var. schwedleri G. Nicholson,,Aceraceae,North Carolina
ACPO11,,Actaea podocarpa DC.,mountain bugbane,Ranunculaceae,North Carolina
ACPO11,ACCO25,Actaea cordifolia DC.,,Ranunculaceae,North Carolina
ACPO11,CIAM,Cimicifuga americana Michx.,,Ranunculaceae,North Carolina
ACPO11,CICO9,Cimicifuga cordifolia (DC.) Torr. & A. Gray,,Ranunculaceae,North Carolina
ACPO11,CIRAC,Cimicifuga racemosa (L.) Nutt. var. cordifolia (DC.) A. Gray,,Ranunculaceae,North Carolina
ACPS,,Acer pseudoplatanus L.,sycamore maple,Aceraceae,North Carolina
ACPU,,Acmella pusilla (Hook. & Arn.) R.K. Jansen,dwarf spotflower,Asteraceae,North Carolina
ACPU,SPPU5,Spilanthes pusilla Hook. & Arn.,,Asteraceae,North Carolina
ACRA7,,Actaea racemosa L.,black baneberry,Ranunculaceae,North Carolina
ACRAR,,Actaea racemosa L. var. racemosa,black bugbane,Ranunculaceae,North Carolina
ACRAR,CIRA,Cimicifuga racemosa (L.) Nutt.,,Ranunculaceae,North Carolina
ACRE,,Aconitum reclinatum A. Gray,trailing white monkshood,Ranunculaceae,North Carolina
ACRH,,Acalypha rhomboidea Raf.,common threeseed mercury,Euphorbiaceae,North Carolina
ACRH,ACVIR,Acalypha virginica L. var. rhomboidea (Raf.) Cooperr.,,Euphorbiaceae,North Carolina
ACRU,,Acer rubrum L.,red maple,Aceraceae,North Carolina
ACRU,ACBA2,Acer barbatum Michx. p.p.,,Aceraceae,North Carolina
ACRUD,,Acer rubrum L. var. drummondii (Hook. & Arn. ex Nutt.) Sarg.,Drummond's maple,Aceraceae,North Carolina
ACRUD,ACDR,Acer drummondii Hook. & Arn. ex Nutt.,,Aceraceae,North Carolina
ACRUD,ACRUD2,Acer rubrum L. ssp. drummondii (Hook. & Arn. ex Nutt.) A.E. Murray,,Aceraceae,North Carolina
ACRUD,RUDR3,Rufacer drummondii (Hook. & Arn. ex Nutt.) Small,,Aceraceae,North Carolina
ACRUR,,Acer rubrum L. var. rubrum,red maple,Aceraceae,North Carolina
ACRUR,ACRUT2,Acer rubrum L. var. tomentosum Tausch,,Aceraceae,North Carolina
ACRUR,ACST,Acer stenocarpum Britton,,Aceraceae,North Carolina
ACRUR,RURU5,Rufacer rubrum (L.) Small,,Aceraceae,North Carolina
ACRUT,,Acer rubrum L. var. trilobum Torr. & A. Gray ex K. Koch,red maple,Aceraceae,North Carolina
ACRUT,ACCA9,Acer carolinianum Walter,,Aceraceae,North Carolina
ACRUT,ACRUT3,Acer rubrum L. var. tridens Alph. Wood,,Aceraceae,North Carolina
ACRUT,RUCA7,Rufacer carolinianum (Walter) Small,,Aceraceae,North Carolina
ACSA2,,Acer saccharinum L.,silver maple,Aceraceae,North Carolina
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,Aceraceae,North Carolina
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,Aceraceae,North Carolina
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,Aceraceae,North Carolina
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,Aceraceae,North Carolina
ACSA3,,Acer saccharum Marshall,sugar maple,Aceraceae,North Carolina
ACSAS,,Acer saccharum Marshall var. saccharum,sugar maple,Aceraceae,North Carolina
ACSAS,ACNIG,Acer nigrum Michx. f. var. glaucum (F. Schmidt) Fosberg,,Aceraceae,North Carolina
ACSAS,ACNIS2,Acer nigrum Michx. f. var. saccharophorum (K. Koch) R.T. Clausen,,Aceraceae,North Carolina
ACSAS,ACSAG,Acer saccharum Marshall var. glaucum (F. Schmidt) Sarg.,,Aceraceae,North Carolina
ACSAS,ACSAR,Acer saccharum Marshall var. rugellii (Pax) Rehder,,Aceraceae,North Carolina
ACSAS,SASA18,Saccharodendron saccharum (Marshall) Moldenke,,Aceraceae,North Carolina
ACSP2,,Acer spicatum Lam.,mountain maple,Aceraceae,North Carolina
ACTAE,,Actaea L.,baneberry,Ranunculaceae,North Carolina
ACTR2,,Acicarpha tribuloides Juss.,madam gorgon,Calyceraceae,North Carolina
ACUN,,Aconitum uncinatum L.,southern blue monkshood,Ranunculaceae,North Carolina
ACUNM,,Aconitum uncinatum L. ssp. muticum (DC.) Hardin,southern blue monkshood,Ranunculaceae,North Carolina
ACUNM,ACUNM2,Aconitum uncinatum L. var. muticum DC.,,Ranunculaceae,North Carolina
ACUNU,,Aconitum uncinatum L. ssp. uncinatum,southern blue monkshood,Ranunculaceae,North Carolina
ACUNU,ACUNA,Aconitum uncinatum L. var. acutidens Fernald,,Ranunculaceae,North Carolina
ACVI,,Acalypha virginica L.,Virginia threeseed mercury,Euphorbiaceae,North Carolina
ADCA,,Adiantum capillus-veneris L.,common maidenhair,Pteridaceae,North Carolina
ADCA,ADCAM,Adiantum capillus-veneris L. var. modestum (Underw.) Fernald,,Pteridaceae,North Carolina
ADCA,ADCAP,Adiantum capillus-veneris L. var. protrusum Fernald,,Pteridaceae,North Carolina
ADCA,ADMO2,Adiantum modestum Underw.,,Pteridaceae,North Carolina
ADFU,,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Fumariaceae,North Carolina
ADIAN,,Adiantum L.,maidenhair fern,Pteridaceae,North Carolina
ADLUM,,Adlumia Raf. ex DC.,adlumia,Fumariaceae,North Carolina
ADPE,,Adiantum pedatum L.,northern maidenhair,Pteridaceae,North Carolina
AEFL,,Aesculus flava Aiton,yellow buckeye,Hippocastanaceae,North Carolina
AEFL,AEOC2,Aesculus octandra Marshall,,Hippocastanaceae,North Carolina
AEFL,AEOCV,Aesculus octandra Marshall var. vestita Sarg.,,Hippocastanaceae,North Carolina
AEFL,AEOCV2,Aesculus octandra Marshall var. virginica Sarg.,,Hippocastanaceae,North Carolina
AEGOP,,Aegopodium L.,goutweed,Apiaceae,North Carolina
AEHI,,Aesculus hippocastanum L.,horse chestnut,Hippocastanaceae,North Carolina
AEIN,,Aeschynomene indica L.,Indian jointvetch,Fabaceae,North Carolina
AEMU,,Aesculus ×mutabilis (Spach) Scheele [pavia × sylvatica],buckeye,Hippocastanaceae,North Carolina
AEMU,AEHA,Aesculus ×harbisonii Sarg.,,Hippocastanaceae,North Carolina
AENE,,Aesculus ×neglecta Lindl. (pro sp.) [flava × sylvatica],buckeye,Hippocastanaceae,North Carolina
AENE,AEGL2,Aesculus ×glaucescens Sarg.,,Hippocastanaceae,North Carolina
AEPA,,Aesculus pavia L.,red buckeye,Hippocastanaceae,North Carolina
AEPAP,,Aesculus pavia L. var. pavia,red buckeye,Hippocastanaceae,North Carolina
AEPAP,AEAU,Aesculus austrina Small,,Hippocastanaceae,North Carolina
AEPAP,AEDI,Aesculus discolor Pursh,,Hippocastanaceae,North Carolina
AEPAP,AEDIM,Aesculus discolor Pursh var. mollis (Raf.) Sarg.,,Hippocastanaceae,North Carolina
AEPAP,AEPAD,Aesculus pavia L. var. discolor (Pursh) A. Gray,,Hippocastanaceae,North Carolina
AEPAP,AESP,Aesculus splendens Sarg.,,Hippocastanaceae,North Carolina
AEPO,,Aegopodium podagraria L.,bishop's goutweed,Apiaceae,North Carolina
AEPO,AEPOV,Aegopodium podagraria L. var. variegatum L.H. Bailey,,Apiaceae,North Carolina
AERU,,Aeschynomene rudis Benth.,zigzag jointvetch,Fabaceae,North Carolina
AESCH,,Aeschynomene L.,jointvetch,Fabaceae,North Carolina
AESCU,,Aesculus L.,buckeye,Hippocastanaceae,North Carolina
AESY,,Aesculus sylvatica W. Bartram,painted buckeye,Hippocastanaceae,North Carolina
AESY,AEGE2,Aesculus georgiana Sarg.,,Hippocastanaceae,North Carolina
AESY,AESYL,Aesculus sylvatica W. Bartram var. lanceolata (Sarg.) W. Bartram,,Hippocastanaceae,North Carolina
