Symbol,Synonym Symbol,Scientific Name with Author,State Common Name,Family,State
ABBA,,Abies balsamea (L.) Mill.,balsam fir,Pinaceae,Minnesota
ABBAB,,Abies balsamea (L.) Mill. var. balsamea,balsam fir,Pinaceae,Minnesota
ABBAB,PIBA3,Pinus balsamea L.,,Pinaceae,Minnesota
ABIES,,Abies Mill.,fir,Pinaceae,Minnesota
ABTH,,Abutilon theophrasti Medik.,velvetleaf,Malvaceae,Minnesota
ABTH,ABAB3,"Abutilon abutilon (L.) Rusby, nom. inval.",,Malvaceae,Minnesota
ABTH,ABAV,Abutilon avicennae Gaertn.,,Malvaceae,Minnesota
ABUTI,,Abutilon Mill.,Indian mallow,Malvaceae,Minnesota
ACALY,,Acalypha L.,copperleaf,Euphorbiaceae,Minnesota
ACAM,,Acorus americanus (Raf.) Raf.,sweetflag,Acoraceae,Minnesota
ACAM,ACCA10,Acorus calamus auct. non L.,,Acoraceae,Minnesota
ACAM,ACCAA2,Acorus calamus L. var. americanus (Raf.) H.D. Wulff.,,Acoraceae,Minnesota
ACARO2,,Acarospora A. Massal.,cracked lichen,Acarosporaceae,Minnesota
ACCA4,,Acorus calamus L.,calamus,Acoraceae,Minnesota
ACER,,Acer L.,maple,Aceraceae,Minnesota
ACGI,,Acer ginnala Maxim.,Amur maple,Aceraceae,Minnesota
ACGI,ACTAG,Acer tataricum L. ssp. ginnala (Maxim.) Wesmael,,Aceraceae,Minnesota
ACHIL,,Achillea L.,yarrow,Asteraceae,Minnesota
ACHNA,,Achnatherum P. Beauv.,needlegrass,Poaceae,Minnesota
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,Poaceae,Minnesota
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,Poaceae,Minnesota
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,Poaceae,Minnesota
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,Poaceae,Minnesota
ACMI2,,Achillea millefolium L.,common yarrow,Asteraceae,Minnesota
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,Asteraceae,Minnesota
ACMIM2,ACMA14,Achillea magna auct.,,Asteraceae,Minnesota
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,Asteraceae,Minnesota
ACMIO,ACAN7,Achillea angustissima Rydb.,,Asteraceae,Minnesota
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,Asteraceae,Minnesota
ACMIO,ACER2,Achillea eradiata Piper,,Asteraceae,Minnesota
ACMIO,ACGR5,Achillea gracilis Raf.,,Asteraceae,Minnesota
ACMIO,ACLA5,Achillea lanulosa Nutt.,,Asteraceae,Minnesota
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,Asteraceae,Minnesota
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,Asteraceae,Minnesota
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,Asteraceae,Minnesota
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,Asteraceae,Minnesota
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,Asteraceae,Minnesota
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,Asteraceae,Minnesota
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,Asteraceae,Minnesota
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,Asteraceae,Minnesota
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,Asteraceae,Minnesota
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,Asteraceae,Minnesota
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,Asteraceae,Minnesota
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,Asteraceae,Minnesota
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,Asteraceae,Minnesota
ACMIO,ACRO4,Achillea rosea Desf.,,Asteraceae,Minnesota
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,Asteraceae,Minnesota
ACNA,,Aconitum napellus L.,Venus' chariot,Ranunculaceae,Minnesota
ACNE2,,Acer negundo L.,boxelder,Aceraceae,Minnesota
